Date,Open,High,Low,Close ,Adj Close 
23-Dec-24,"95,099.39","96,416.21","92,403.13","94,686.24","94,686.24"
22-Dec-24,"97,218.32","97,360.27","94,202.19","95,104.94","95,104.94"
21-Dec-24,"97,756.20","99,507.10","96,426.52","97,224.73","97,224.73"
20-Dec-24,"97,484.70","98,098.91","92,175.18","97,755.93","97,755.93"
19-Dec-24,"100,070.69","102,748.15","95,587.68","97,490.95","97,490.95"
18-Dec-24,"106,147.30","106,470.61","100,041.54","100,041.54","100,041.54"
17-Dec-24,"106,030.69","108,268.45","105,291.73","106,140.60","106,140.60"
16-Dec-24,"104,293.58","107,780.58","103,322.98","106,029.72","106,029.72"
15-Dec-24,"101,373.53","105,047.54","101,227.03","104,298.70","104,298.70"
14-Dec-24,"101,451.44","102,618.88","100,634.05","101,372.97","101,372.97"
13-Dec-24,"100,046.65","101,888.80","99,233.28","101,459.26","101,459.26"
12-Dec-24,"101,167.80","102,524.91","99,339.95","100,043.00","100,043.00"
11-Dec-24,"96,656.06","101,913.36","95,747.23","101,173.03","101,173.03"
10-Dec-24,"97,441.23","98,270.16","94,321.26","96,675.43","96,675.43"
9-Dec-24,"101,237.06","101,272.51","94,355.91","97,432.72","97,432.72"
8-Dec-24,"99,921.91","101,399.99","98,771.52","101,236.02","101,236.02"
7-Dec-24,"99,916.71","100,563.38","99,030.88","99,923.34","99,923.34"
6-Dec-24,"97,074.23","102,039.88","96,514.88","99,920.71","99,920.71"
5-Dec-24,"98,741.54","103,900.47","91,998.78","96,593.57","96,593.57"
4-Dec-24,"95,988.53","99,207.33","94,660.52","98,768.53","98,768.53"
3-Dec-24,"95,854.59","96,297.20","93,629.56","96,002.16","96,002.16"
2-Dec-24,"97,276.01","98,152.60","94,482.87","95,865.30","95,865.30"
1-Dec-24,"96,461.34","97,888.13","95,770.19","97,279.79","97,279.79"
30-Nov-24,"97,468.81","97,499.34","96,144.22","96,449.05","96,449.05"
29-Nov-24,"95,653.95","98,693.17","95,407.88","97,461.52","97,461.52"
28-Nov-24,"95,954.95","96,650.20","94,677.35","95,652.47","95,652.47"
27-Nov-24,"91,978.14","97,361.18","91,778.66","95,962.53","95,962.53"
26-Nov-24,"93,087.28","94,991.75","90,770.81","91,985.32","91,985.32"
25-Nov-24,"98,033.45","98,935.03","92,642.91","93,102.30","93,102.30"
24-Nov-24,"97,778.09","98,647.18","95,788.08","98,013.82","98,013.82"
23-Nov-24,"99,006.74","99,014.68","97,232.89","97,777.28","97,777.28"
22-Nov-24,"98,496.43","99,655.50","97,222.66","98,997.66","98,997.66"
21-Nov-24,"94,334.64","99,014.22","94,132.60","98,504.73","98,504.73"
20-Nov-24,"92,341.89","94,902.02","91,619.50","94,339.49","94,339.49"
19-Nov-24,"90,536.81","94,002.87","90,426.98","92,343.79","92,343.79"
18-Nov-24,"89,843.72","92,596.79","89,393.59","90,542.64","90,542.64"
17-Nov-24,"90,558.46","91,433.04","88,741.66","89,845.85","89,845.85"
16-Nov-24,"91,064.37","91,763.95","90,094.23","90,558.48","90,558.48"
15-Nov-24,"87,284.18","91,868.74","87,124.90","91,066.01","91,066.01"
14-Nov-24,"90,574.88","91,765.22","86,682.81","87,250.43","87,250.43"
13-Nov-24,"87,929.97","93,434.35","86,256.93","90,584.16","90,584.16"
12-Nov-24,"88,705.56","89,956.88","85,155.11","87,955.81","87,955.81"
11-Nov-24,"80,471.41","89,604.50","80,283.25","88,701.48","88,701.48"
10-Nov-24,"76,775.55","81,474.42","76,565.43","80,474.19","80,474.19"
9-Nov-24,"76,556.19","76,932.77","75,773.79","76,778.87","76,778.87"
8-Nov-24,"75,902.84","77,252.75","75,648.74","76,545.48","76,545.48"
7-Nov-24,"75,637.09","76,943.12","74,480.42","75,904.86","75,904.86"
6-Nov-24,"69,358.50","76,460.16","69,322.03","75,639.08","75,639.08"
5-Nov-24,"67,811.17","70,522.79","67,458.87","69,359.56","69,359.56"
4-Nov-24,"68,742.13","69,433.18","66,803.65","67,811.51","67,811.51"
3-Nov-24,"69,296.38","69,361.66","67,482.52","68,741.12","68,741.12"
2-Nov-24,"69,486.02","69,867.35","69,033.72","69,289.27","69,289.27"
1-Nov-24,"70,216.90","71,559.02","68,779.70","69,482.47","69,482.47"
31-Oct-24,"72,335.05","72,662.31","69,590.50","70,215.19","70,215.19"
30-Oct-24,"72,715.37","72,905.30","71,411.73","72,339.54","72,339.54"
29-Oct-24,"69,910.05","73,577.21","69,729.91","72,720.49","72,720.49"
28-Oct-24,"67,922.67","70,212.27","67,535.13","69,907.76","69,907.76"
27-Oct-24,"67,023.48","68,221.31","66,847.23","67,929.30","67,929.30"
26-Oct-24,"66,628.73","67,317.92","66,360.59","67,014.70","67,014.70"
25-Oct-24,"68,165.30","68,722.16","65,521.79","66,642.41","66,642.41"
24-Oct-24,"66,653.70","68,798.96","66,454.10","68,161.05","68,161.05"
23-Oct-24,"67,362.38","67,402.74","65,188.04","66,432.20","66,432.20"
22-Oct-24,"67,360.70","67,801.58","66,581.37","67,361.41","67,361.41"
21-Oct-24,"69,002.00","69,462.73","66,829.85","67,367.85","67,367.85"
20-Oct-24,"68,364.18","69,359.01","68,105.72","69,001.70","69,001.70"
19-Oct-24,"68,418.98","68,668.01","68,024.64","68,362.73","68,362.73"
18-Oct-24,"67,419.11","68,969.75","67,177.82","68,418.79","68,418.79"
17-Oct-24,"67,617.08","67,912.21","66,647.39","67,399.84","67,399.84"
16-Oct-24,"67,042.46","68,375.29","66,758.73","67,612.72","67,612.72"
15-Oct-24,"66,050.37","67,881.68","64,809.20","67,041.11","67,041.11"
14-Oct-24,"62,848.40","66,482.49","62,442.15","66,046.13","66,046.13"
13-Oct-24,"63,192.95","63,272.65","62,035.64","62,851.38","62,851.38"
12-Oct-24,"62,444.62","63,448.79","62,443.27","63,193.02","63,193.02"
11-Oct-24,"60,275.46","63,400.87","60,046.13","62,445.09","62,445.09"
10-Oct-24,"60,581.93","61,236.72","58,895.21","60,274.50","60,274.50"
9-Oct-24,"62,131.73","62,508.84","60,314.61","60,582.10","60,582.10"
8-Oct-24,"62,221.64","63,174.30","61,843.56","62,131.97","62,131.97"
7-Oct-24,"62,819.11","64,443.71","62,152.55","62,236.66","62,236.66"
6-Oct-24,"62,084.99","62,959.57","61,833.15","62,818.95","62,818.95"
5-Oct-24,"62,067.61","62,371.02","61,689.58","62,089.95","62,089.95"
4-Oct-24,"60,754.63","62,465.99","60,459.94","62,067.48","62,067.48"
3-Oct-24,"60,632.48","61,469.04","59,878.80","60,759.40","60,759.40"
2-Oct-24,"60,836.32","62,357.69","59,996.95","60,632.79","60,632.79"
1-Oct-24,"63,335.61","64,110.98","60,189.28","60,837.01","60,837.01"
30-Sep-24,"65,634.66","65,635.05","62,873.62","63,329.50","63,329.50"
29-Sep-24,"65,888.90","66,069.34","65,450.02","65,635.30","65,635.30"
28-Sep-24,"65,792.18","66,255.53","65,458.04","65,887.65","65,887.65"
27-Sep-24,"65,180.66","66,480.70","64,852.99","65,790.66","65,790.66"
26-Sep-24,"63,138.55","65,790.80","62,669.27","65,181.02","65,181.02"
25-Sep-24,"64,302.59","64,804.50","62,945.38","63,143.14","63,143.14"
24-Sep-24,"63,326.84","64,695.21","62,737.42","64,301.97","64,301.97"
23-Sep-24,"63,643.10","64,733.56","62,628.08","63,329.80","63,329.80"
22-Sep-24,"63,396.80","63,993.42","62,440.73","63,648.71","63,648.71"
21-Sep-24,"63,184.34","63,543.36","62,783.11","63,394.84","63,394.84"
20-Sep-24,"62,941.43","64,119.53","62,364.61","63,192.98","63,192.98"
19-Sep-24,"61,651.16","63,872.44","61,609.87","62,940.46","62,940.46"
18-Sep-24,"60,309.00","61,664.07","59,218.25","61,649.68","61,649.68"
17-Sep-24,"58,192.51","61,316.09","57,628.07","60,308.54","60,308.54"
16-Sep-24,"59,185.23","59,205.51","57,501.34","58,192.51","58,192.51"
15-Sep-24,"60,000.73","60,381.92","58,696.31","59,182.84","59,182.84"
14-Sep-24,"60,569.12","60,656.72","59,517.88","60,005.12","60,005.12"
13-Sep-24,"58,130.32","60,648.02","57,650.11","60,571.30","60,571.30"
12-Sep-24,"57,343.17","58,534.36","57,330.10","58,127.01","58,127.01"
11-Sep-24,"57,650.29","57,991.32","55,567.34","57,343.17","57,343.17"
10-Sep-24,"57,020.10","58,029.98","56,419.41","57,648.71","57,648.71"
9-Sep-24,"54,851.89","58,041.13","54,598.43","57,019.54","57,019.54"
8-Sep-24,"54,147.93","55,300.86","53,653.76","54,841.57","54,841.57"
7-Sep-24,"53,949.09","54,838.14","53,740.07","54,139.69","54,139.69"
6-Sep-24,"56,160.19","56,976.11","52,598.70","53,948.75","53,948.75"
5-Sep-24,"57,971.70","58,300.58","55,712.45","56,160.49","56,160.49"
4-Sep-24,"57,430.35","58,511.57","55,673.16","57,971.54","57,971.54"
3-Sep-24,"59,106.19","59,815.06","57,425.17","57,431.02","57,431.02"
2-Sep-24,"57,326.97","59,403.07","57,136.03","59,112.48","59,112.48"
1-Sep-24,"58,969.80","59,062.07","57,217.82","57,325.49","57,325.49"
31-Aug-24,"59,117.48","59,432.59","58,768.79","58,969.90","58,969.90"
30-Aug-24,"59,388.60","59,896.89","57,768.53","59,119.48","59,119.48"
29-Aug-24,"59,027.47","61,184.08","58,786.23","59,388.18","59,388.18"
28-Aug-24,"59,507.93","60,236.45","57,890.68","59,027.63","59,027.63"
27-Aug-24,"62,879.71","63,210.80","58,116.75","59,504.13","59,504.13"
26-Aug-24,"64,342.23","64,489.71","62,849.56","62,880.66","62,880.66"
25-Aug-24,"64,176.37","64,996.42","63,833.52","64,333.54","64,333.54"
24-Aug-24,"64,103.87","64,513.79","63,619.92","64,178.99","64,178.99"
23-Aug-24,"60,380.95","64,947.06","60,372.05","64,094.36","64,094.36"
22-Aug-24,"61,168.32","61,408.11","59,815.25","60,381.91","60,381.91"
21-Aug-24,"59,014.99","61,834.35","58,823.45","61,175.19","61,175.19"
20-Aug-24,"59,493.45","61,396.33","58,610.88","59,012.79","59,012.79"
19-Aug-24,"58,480.71","59,612.66","57,864.71","59,493.45","59,493.45"
18-Aug-24,"59,468.13","60,262.72","58,445.40","58,483.96","58,483.96"
17-Aug-24,"58,893.53","59,694.67","58,814.83","59,478.97","59,478.97"
16-Aug-24,"57,560.27","59,847.36","57,110.02","58,894.11","58,894.11"
15-Aug-24,"58,733.26","59,838.65","56,161.59","57,560.10","57,560.10"
14-Aug-24,"60,611.05","61,687.76","58,472.88","58,737.27","58,737.27"
13-Aug-24,"59,356.21","61,572.40","58,506.25","60,609.57","60,609.57"
12-Aug-24,"58,719.39","60,680.33","57,688.90","59,354.52","59,354.52"
